Audience	00:00:08	Applause.
Milton Kessler	00:24:35	Reads "Summer's End" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:28:20	Little poem, "Russian Joke".
Milton Kessler	00:28:26	Reads "Russian Joke" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:29:02	"The Confusion: May 1969". I’ve never read this one before, nor is it finished, nor is it any good, as far as I can tell.
Milton Kessler	00:29:17	Reads "The Confusion: May 1969".
Milton Kessler	00:30:08	This one is called "A Dream of Weeping".
Milton Kessler	00:30:14	Reads "A Dream of Weeping" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:31:24	Here's a brand new one, this is the last poem I've written, this one. We could stop for a few minutes, you know, if you're tired. I'm really terrified usually before this begins, but once it's going, you know, then it's alright, it's really very good. It's called "The Moment of No Recovery". Excuse me, "The Moment of No Recovery". Maybe the first one is better than this one. "The Moment of No Recovery", "The Moment of No Discovery", no this is better. It has only the slightest bit to do, by the way, with a woman in my family who I've recently come to know about, her name is Minnie, she is an aunt, she's my father's sister, she's been in the Rockland State Hospital <sup><a href="https://www.wikidata.org/wiki/Q22061059">w</a></sup> for over forty years. Only recently did I find out about her existence. And I remember when I talked to Allen  <sup><a href="https://www.wikidata.org/wiki/Q6711">w</a></sup>, oh a few months ago, and he said something, he was just talking about the kind of people who are locked up, and he said it's like mini, you know, like mini, and I said that's it! My aunt Minnie, I have this aunt, and he said, well, go, go and see her. You know, what's happening there, how many times she could have been alright, well of course, this is just a little bit to her maybe, but I think I may have been thinking about it a little. Other things too. "The Moment of No Recovery". I have to learn, I think, how to read this poem. 
Milton Kessler	00:33:49	Reads "The Moment of No Recovery" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:35:10	I've written quite a lot about women, and I have read so many of those, I know, but here is one that is a poem about--titled "Anne". When I read this poem in a Pittsburgh <sup><a href="https://www.wikidata.org/wiki/Q1342">w</a></sup> high school, about three weeks ago, the teacher decided to call the whole thing off. After I read it, after I read it, and somebody asked me about why I read it and I said I read it because I liked it very much and because I--it was about women, you know, and it was kind of a poem of praise about women, and at that point this woman got up and called and said we have to move the chairs into another room, that's actually what she said, we have to take some of these chairs into another room now, sorry. What a bitch. The worst I've ever seen, she was just unbelievable. Let's not have any doubts about her, it was the Langley High School <sup><a href="https://www.wikidata.org/wiki/Q15241542">w</a></sup> in Pittsburgh. This poem is titled "Anne".
Milton Kessler	00:36:48	Reads "Anne" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:38:55	This poem is titled "Chad Gadya: One Little Goat"--a Chad Gadya is a passover song and I assume it's a round that has its sense, the idea that God makes it right. It has just the tiniest little autobiographical fact about it, which is that my grandfather actually sold papers in Brooklyn, so this is the beginning of the thing.
Milton Kessler	00:39:38	Reads "Chad Gadya: One Little Goat" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:41:4	This one is titled "The Voice of the Soldier", no one's saying anything about it.
Milton Kessler	00:42:00	Reads "The Voice of the Soldier" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:43:00	That's a song of innocence. I remember I showed this poem to a student of mine who was in the Israeli army <sup><a href="https://www.wikidata.org/wiki/Q58967">w</a></sup>, and he immediately said "No, it's not like that, that's not--it's not like that" and he described how someone had had his leg blown off and what he said, he didn't say anything like this at all, he said to me, he said something else, and so of course I didn't mean that's the way I thought war was. This is the last one I'm going to read and it's one I haven't read. It's called "A Good Death", and it's a poem for Henry Thoreau <sup><a href="https://www.wikidata.org/wiki/Q131149">w</a></sup>, it's "A Good Death" and it's for Henry Thoreau, and it's a century later. And it's the only time I tried, somebody just asked me, you know, it's to, to write something about Thoreau, which I thought would be absolutely impossible, but then as I started to read him, and I started to think of how I could never believe what he was saying, ever, like I could never believe so many affirmative, you know, things, and then I began to sort of see what--and I wrote this anyway. It was between Thoreau and me. You'll see what it sounds like.
Milton Kessler	00:44:51	Reads "A Good Death" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:45:20	--oh damn it. That's the trouble, that's the way I am, you know, make the last one you're going to read, you know, something you don't know.
